Model,Genre,F1-Score,Precision,Genre_Class
XGB,0,0.861,0.848,blues
XGB,1,0.947,0.94,metal
XGB,2,0.819,0.78,reggae
XGB,3,0.859,0.874,jazz
XGB,4,0.864,0.871,pop
XGB,5,0.902,0.896,disco
XGB,6,0.921,0.928,classical
XGB,7,0.881,0.904,rock
XGB,8,0.867,0.876,hiphop
XGB,9,0.821,0.833,country
GA+SVM,0,0.847,0.805,blues
GA+SVM,1,0.913,0.895,metal
GA+SVM,2,0.753,0.793,reggae
GA+SVM,3,0.83,0.8,jazz
GA+SVM,4,0.824,0.845,pop
GA+SVM,5,0.854,0.82,disco
GA+SVM,6,0.931,0.94,classical
GA+SVM,7,0.859,0.885,rock
GA+SVM,8,0.814,0.814,hiphop
GA+SVM,9,0.759,0.796,country
LSTM,0,0.837,0.807,blues
LSTM,1,0.863,0.841,metal
LSTM,2,0.763,0.793,reggae
LSTM,3,0.83,0.8,jazz
LSTM,4,0.824,0.864,pop
LSTM,5,0.854,0.834,disco
LSTM,6,0.871,0.891,classical
LSTM,7,0.859,0.845,rock
LSTM,8,0.824,0.824,hiphop
LSTM,9,0.779,0.798,country
